artist_id,artist_name
0,Marshmello                                                                                          
1,Katy Perry                                                                                          
2,Chris Brown                                                                                         
3,Lady Gaga                                                                                           
4,DJ Snake                                                                                            
5,Y2K                                                                                                 
6,Post Malone                                                                                         
7,Jhay Cortez                                                                                         
8,ROSALÍA                                                                                             
9,Nicky Jam                                                                                           
10,Ali Gatie                                                                                           
11,Martin Garrix                                                                                       
12,Daddy Yankee                                                                                        
13,Lewis Capaldi                                                                                       
14,Lizzo                                                                                               
15,Lil Tecca                                                                                           
16,MEDUZA                                                                                              
17,Jonas Brothers                                                                                      
18,Lauv                                                                                                
19,The Chainsmokers                                                                                    
20,Bad Bunny                                                                                           
21,Maluma                                                                                              
22,Khalid                                                                                              
23,Lunay                                                                                               
24,Lil Nas X                                                                                           
25,Ed Sheeran                                                                                          
26,Anuel AA                                                                                            
27,Shawn Mendes                                                                                        
28,Drake                                                                                               
29,J Balvin                                                                                            
30,Sech                                                                                                
31,Kygo                                                                                                
32,Billie Eilish                                                                                       
33,Young Thug                                                                                          
34,Taylor Swift                                                                                        
35,Ariana Grande                                                                                       
36,Sam Smith                                                                                           
37,Tones and I                                                                                         
